Language,Task,Bias,Type,Mean,Stddev,Data
Haskell,Traversal,Bottom,ST,1808.77,9.43,1808.67 1808.28 1799.75 1822.24 1806.12 1820.82 1804.44 1810.08 1803.40 1791.13 1803.48 1824.89 1810.65
Haskell,Traversal,Bottom,Indices,1397.90,29.93,1449.98 1372.70 1356.46 1397.40 1385.89 1418.37 1361.27 1406.01 1399.37 1445.58 1438.75 1394.39 1367.95 1372.67 1401.66
Haskell,Traversal,Bottom,Index,1417.70,17.41,1407.97 1405.54 1452.19 1411.13 1440.17 1432.06 1404.68 1409.46 1405.73 1405.44 1446.76 1415.82 1427.28 1401.87 1399.42
Haskell,Traversal,Bottom,Precomputed,1380.91,22.14,1362.60 1328.44 1417.44 1378.64 1401.30 1381.21 1370.54 1398.49 1375.37 1386.94 1392.89 1383.28 1369.05 1358.99 1408.53
Haskell,Traversal,Bottom,Zipper,1693.21,14.43,1700.64 1710.20 1718.84 1705.16 1682.96 1676.36 1670.50 1699.68 1688.70 1675.44 1697.31 1684.78 1688.17 1706.15
Haskell,Traversal,Right,State,254.95,1.17,255.03 250.36 255.59 257.39 256.31 253.75 255.06 255.51 256.17 254.25 256.06 255.39 254.98 254.85 254.56 254.34 253.91 255.88 254.32 255.09 255.84 254.46 256.11 256.03 255.66 255.89 254.89 253.84 255.64 253.70 254.73 254.08 254.70 254.39 254.52
Haskell,Traversal,Right,ST,274.44,2.08,282.01 276.86 272.19 272.81 272.18 278.49 272.47 271.32 275.88 272.72 275.83 274.64 275.48 274.07 273.36 273.18 273.57 274.89 273.48 273.37 274.49 272.29 277.18 274.03 275.06 273.09 274.05 272.60 275.93 274.64 273.97 275.64 273.75 275.26
Haskell,Traversal,Right,Indices,169.39,2.06,163.82 163.00 174.44 175.91 170.93 168.55 169.69 169.87 169.82 168.08 168.92 172.45 170.14 169.25 169.86 170.79 167.86 169.66 170.10 168.39 168.27 169.42 171.84 168.71 169.47 169.58 168.31 169.19 169.21 169.02 168.67 168.40 169.56 169.21 169.30 168.78 168.31 169.37 169.68 168.97 169.71 170.07
Haskell,Traversal,Right,Index,137.94,1.25,137.93 135.70 138.31 136.64 140.21 138.11 138.47 136.91 137.61 137.17 137.92 137.51 137.33 137.61 137.11 136.97 138.77 137.49 137.17 137.77 137.48 138.33 137.27 138.68 137.12 136.93 137.55 137.55 137.66 137.33 137.19 137.28 138.27 137.79 140.25 143.24 140.98 139.82 136.92 137.99 137.92 137.65 137.52 138.27 137.46 138.09
Haskell,Traversal,Right,Precomputed,126.37,0.83,125.58 125.22 126.23 125.87 125.79 127.69 127.30 128.74 128.43 127.00 125.44 125.15 125.60 126.76 126.60 126.76 125.45 126.21 127.02 127.91 127.01 125.56 125.43 125.05 125.26 126.36 125.80 126.84 126.93 126.03 126.81 126.75 126.12 125.93 125.73 126.83 127.24 126.00 126.03 126.03 126.29 126.73 125.84 125.83 126.96 126.39 126.75
Haskell,Traversal,Right,Zipper,43.64,0.31,43.90 43.82 43.75 44.89 43.58 43.07 43.16 43.92 43.40 43.19 43.33 43.28 43.41 43.59 43.55 43.61 43.39 43.54 43.51 43.75 44.27 43.68 43.70 43.52 43.99 43.87 43.55 43.97 44.16 43.38 43.46 43.15 43.77 43.89 44.35 43.51 43.77 43.38 44.08 43.48 43.34 43.42 43.35 43.28 43.41 44.04 43.76 43.88 43.50 43.48 43.83 43.56 43.59 43.52 43.81 43.56 43.38 43.65 43.49 43.59 43.85 43.63 43.86 43.71 43.71 43.69 43.61
Haskell,Traversal,BottomRight,State,261.96,0.73,265.30 261.26 261.71 261.69 262.21 261.79 262.00 261.94 262.90 261.76 261.70 262.46 261.40 262.57 261.42 262.08 261.22 262.74 261.74 262.48 262.49 261.86 262.22 261.61 261.59 262.25 261.90 261.83 261.46 261.79 261.79 261.50 261.31 261.26 261.52
Haskell,Traversal,BottomRight,ST,282.58,1.10,282.88 280.38 283.62 284.00 282.20 283.16 284.24 282.50 281.83 282.99 282.05 282.80 281.56 282.03 281.88 282.52 282.72 282.95 282.62 282.94 280.61 282.56 281.39 283.26 281.22 281.55 281.89 285.15 281.52 283.77 283.57 285.03 282.17 282.15
Haskell,Traversal,BottomRight,Indices,172.92,1.55,169.00 167.88 177.13 177.07 173.14 171.65 171.69 173.90 173.05 173.73 171.33 173.88 173.89 173.00 173.38 171.82 171.97 174.07 173.14 172.60 173.55 172.86 173.78 172.63 173.54 173.52 170.98 172.76 172.65 173.77 172.28 172.57 173.57 173.01 172.40 173.04 172.35 173.08 173.20 172.19 173.95 173.55
Haskell,Traversal,BottomRight,Index,135.69,0.73,135.29 135.57 136.34 134.11 135.50 137.59 135.37 135.94 135.61 134.86 134.82 136.54 134.81 134.98 136.72 135.43 135.62 135.90 136.35 134.91 137.05 134.82 136.48 135.59 135.49 134.72 135.80 135.50 135.59 135.06 135.49 135.38 135.81 135.41 136.13 136.33 135.46 135.00 135.28 136.05 135.44 136.13 137.76 135.77 136.04 136.08
Haskell,Traversal,BottomRight,Precomputed,128.57,0.56,127.27 128.87 130.48 128.86 128.20 128.45 128.18 128.55 127.96 128.41 128.13 127.73 128.50 127.89 128.69 128.09 128.33 129.29 129.13 129.58 129.04 128.48 128.55 128.89 128.41 129.10 128.71 128.31 128.19 128.50 127.94 128.59 129.17 128.47 129.15 128.01 128.73 129.25 128.40 129.63 128.64 127.86 128.43 128.33 128.56 128.55 128.26
Haskell,Traversal,BottomRight,Zipper,35.91,0.44,35.83 35.85 35.97 35.97 35.54 34.92 35.08 35.11 35.73 35.78 35.71 35.60 35.20 35.53 35.71 35.90 36.89 36.35 35.88 35.86 35.63 36.05 35.68 36.20 35.29 35.33 36.13 35.98 35.87 37.23 36.24 36.14 36.11 36.13 35.79 36.00 35.85 36.12 35.86 36.37 35.71 35.72 35.64 35.64 35.61 35.72 36.04 35.61 35.77 35.58 35.47 35.97 35.64 35.75 35.54 36.00 36.38 36.58 36.63 37.03 36.59 36.55 36.54 36.79 35.99 35.71 35.78 35.73 35.58 35.71 35.82
Haskell,Insertion,None,Root,3256.66,64.52,3373.72 3294.78 3247.16 3210.12 3310.36 3302.78 3148.77 3236.98 3236.27 3205.65
Haskell,Insertion,None,Zipper,1052.39,54.06,1225.42 1013.01 1056.90 1079.93 988.62 1124.91 1008.52 1070.69 1043.57 1041.09 1077.19 1005.92 1028.72 1033.39 1044.08 1012.27 1036.66 1052.14
